,0
0,76.13
1,74.24
2,73.05
3,69.48
4,70.25
5,68.43
6,72.4
7,72.14
8,70.91
9,69.4
10,66.06
11,65.97
12,65.54
13,65.79
14,69.8
15,70.6
16,69.87
17,74.21
18,82.52
19,88.3
20,85.53
21,87.61
22,90.73
23,83.03
24,83.68
25,79.57
26,75.98
27,74.22
28,73.37
29,77.78
30,92.93
31,110.87
32,115.0
33,114.7
34,115.18
35,113.95
36,111.96
37,112.15
38,112.49
39,111.55
40,111.26
41,114.26
42,117.13
43,118.45
44,121.37
45,121.56
46,118.69
47,106.76
48,76.68
49,71.51
50,69.29
51,66.57
52,65.5
53,68.65
54,77.92
55,107.82
56,117.07
57,118.56
58,118.97
59,117.72
60,116.54
61,116.43
62,115.96
63,115.27
64,114.22
65,115.66
66,117.81
67,118.09
68,119.24
69,120.15
70,119.27
71,108.17
72,96.28
73,72.21
74,67.26
75,66.76
76,68.22
77,75.21
78,87.81
79,100.52
80,111.83
81,113.03
82,113.44
83,112.74
84,111.84
85,112.13
86,110.09
87,108.98
88,108.45
89,114.54
90,114.07
91,112.94
92,113.61
93,114.59
94,115.32
95,106.85
96,97.45
97,77.01
98,70.35
99,69.02
100,67.76
101,77.2
102,90.6
103,105.96
104,115.32
105,117.26
106,118.61
107,117.13
108,116.95
109,117.14
110,117.52
111,118.56
112,120.02
113,122.57
114,124.06
115,124.85
116,127.61
117,128.76
118,127.12
119,123.99
120,127.58
121,122.01
122,114.49
123,110.47
124,100.82
125,99.92
126,99.83
127,106.7
128,112.27
129,115.75
130,122.6
131,124.32
132,122.17
133,119.05
134,115.14
135,110.67
136,104.89
137,111.13
138,117.17
139,115.81
140,117.35
141,117.9
142,117.59
143,116.29
144,111.41
