,Fecha,TPD,EDP,VE
0,2019-07-15 00:00:00+00:00,105.38,56.97,54.16
1,2019-07-15 01:00:00+00:00,104.53,56.1,53.31
2,2019-07-15 02:00:00+00:00,104.4,55.97,53.19
3,2019-07-15 03:00:00+00:00,107.39,58.96,56.15
4,2019-07-15 04:00:00+00:00,112.27,63.86,60.98
5,2019-07-15 05:00:00+00:00,114.19,65.78,69.15
6,2019-07-15 06:00:00+00:00,115.04,67.08,70.02
7,2019-07-15 07:00:00+00:00,115.04,67.15,70.1
8,2019-07-15 08:00:00+00:00,114.74,66.85,69.73
9,2019-07-15 09:00:00+00:00,115.61,67.77,70.62
10,2019-07-15 10:00:00+00:00,117.29,69.27,72.28
11,2019-07-15 11:00:00+00:00,117.21,135.81,135.81
12,2019-07-15 12:00:00+00:00,115.81,134.41,134.41
13,2019-07-15 13:00:00+00:00,114.48,133.07,133.07
14,2019-07-15 14:00:00+00:00,113.86,132.44,132.44
15,2019-07-15 15:00:00+00:00,114.09,132.67,132.67
16,2019-07-15 16:00:00+00:00,111.04,129.66,129.66
17,2019-07-15 17:00:00+00:00,111.78,130.41,130.41
18,2019-07-15 18:00:00+00:00,113.85,132.49,132.49
19,2019-07-15 19:00:00+00:00,117.63,136.36,136.36
20,2019-07-15 20:00:00+00:00,113.58,132.22,132.22
21,2019-07-15 21:00:00+00:00,112.27,63.93,67.19
22,2019-07-15 22:00:00+00:00,115.13,66.49,70.06
23,2019-07-15 23:00:00+00:00,109.65,61.15,58.34
