Fecha,Consumo_kWh,Fecha,TPD,EDP,VE
2018-02-01 00:00:00,0.863,2018-02-01 00:00:00,127.1,76.88,73.15
2018-02-01 01:00:00,1.367,2018-02-01 01:00:00,124.34,74.24,70.48
2018-02-01 02:00:00,0.373,2018-02-01 02:00:00,119.4,69.46,65.85
2018-02-01 03:00:00,0.368,2018-02-01 03:00:00,114.81,65.09,61.56
2018-02-01 04:00:00,0.251,2018-02-01 04:00:00,113.41,63.87,60.48
2018-02-01 05:00:00,0.24100000000000002,2018-02-01 05:00:00,120.85,71.23,67.77
2018-02-01 06:00:00,0.9309999999999999,2018-02-01 06:00:00,126.63,76.97,81.47
2018-02-01 07:00:00,0.691,2018-02-01 07:00:00,125.65,76.66,80.63
2018-02-01 08:00:00,1.472,2018-02-01 08:00:00,124.38,75.72,79.41
2018-02-01 09:00:00,1.335,2018-02-01 09:00:00,123.76,75.2,78.74
2018-02-01 10:00:00,0.237,2018-02-01 10:00:00,122.7,74.16,77.73
2018-02-01 11:00:00,0.292,2018-02-01 11:00:00,120.29,138.98,75.27
2018-02-01 12:00:00,0.9790000000000001,2018-02-01 12:00:00,118.08,136.81,136.81
2018-02-01 13:00:00,1.3769999999999998,2018-02-01 13:00:00,109.59,128.3,128.3
2018-02-01 14:00:00,1.135,2018-02-01 14:00:00,107.95,126.59,126.59
2018-02-01 15:00:00,1.135,2018-02-01 15:00:00,107.5,126.2,126.2
2018-02-01 16:00:00,1.86,2018-02-01 16:00:00,109.04,127.7,127.7
2018-02-01 17:00:00,0.9590000000000001,2018-02-01 17:00:00,117.31,136.04,136.04
2018-02-01 18:00:00,0.767,2018-02-01 18:00:00,122.81,141.65,141.65
2018-02-01 19:00:00,0.433,2018-02-01 19:00:00,124.91,143.76,143.76
2018-02-01 20:00:00,1.047,2018-02-01 20:00:00,125.82,144.73,144.73
2018-02-01 21:00:00,0.986,2018-02-01 21:00:00,122.84,73.2,141.78
2018-02-01 22:00:00,2.315,2018-02-01 22:00:00,119.56,70.06,74.39
2018-02-01 23:00:00,2.189,2018-02-01 23:00:00,112.35,62.91,67.13
