CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;01/02/2018;1;0,863;R
ES0021000001720511XQ;01/02/2018;2;1,367;R
ES0021000001720511XQ;01/02/2018;3;0,373;R
ES0021000001720511XQ;01/02/2018;4;0,368;R
ES0021000001720511XQ;01/02/2018;5;0,251;R
ES0021000001720511XQ;01/02/2018;6;0,241;R
ES0021000001720511XQ;01/02/2018;7;0,931;R
ES0021000001720511XQ;01/02/2018;8;0,691;R
ES0021000001720511XQ;01/02/2018;9;1,472;R
ES0021000001720511XQ;01/02/2018;10;1,335;R
ES0021000001720511XQ;01/02/2018;11;0,237;R
ES0021000001720511XQ;01/02/2018;12;0,292;R
ES0021000001720511XQ;01/02/2018;13;0,979;R
ES0021000001720511XQ;01/02/2018;14;1,377;R
ES0021000001720511XQ;01/02/2018;15;1,135;R
ES0021000001720511XQ;01/02/2018;16;1,135;R
ES0021000001720511XQ;01/02/2018;17;1,860;R
ES0021000001720511XQ;01/02/2018;18;0,959;R
ES0021000001720511XQ;01/02/2018;19;0,767;R
ES0021000001720511XQ;01/02/2018;20;0,433;R
ES0021000001720511XQ;01/02/2018;21;1,047;R
ES0021000001720511XQ;01/02/2018;22;0,986;R
ES0021000001720511XQ;01/02/2018;23;2,315;R
ES0021000001720511XQ;01/02/2018;24;2,189;R
ES0021000001720511XQ;02/02/2018;1;0,751;R
ES0021000001720511XQ;02/02/2018;2;0,239;R
ES0021000001720511XQ;02/02/2018;3;0,236;R
ES0021000001720511XQ;02/02/2018;4;0,273;R
ES0021000001720511XQ;02/02/2018;5;0,286;R
ES0021000001720511XQ;02/02/2018;6;0,418;R
ES0021000001720511XQ;02/02/2018;7;0,987;R
ES0021000001720511XQ;02/02/2018;8;0,353;R
ES0021000001720511XQ;02/02/2018;9;1,114;R
ES0021000001720511XQ;02/02/2018;10;1,579;R
ES0021000001720511XQ;02/02/2018;11;0,551;R
ES0021000001720511XQ;02/02/2018;12;1,066;R
ES0021000001720511XQ;02/02/2018;13;1,047;R
ES0021000001720511XQ;02/02/2018;14;2,485;R
ES0021000001720511XQ;02/02/2018;15;2,850;R
ES0021000001720511XQ;02/02/2018;16;0,852;R
ES0021000001720511XQ;02/02/2018;17;1,739;R
ES0021000001720511XQ;02/02/2018;18;0,816;R
ES0021000001720511XQ;02/02/2018;19;0,693;R
ES0021000001720511XQ;02/02/2018;20;0,379;R
ES0021000001720511XQ;02/02/2018;21;0,603;R
ES0021000001720511XQ;02/02/2018;22;0,930;R
ES0021000001720511XQ;02/02/2018;23;1,964;R
ES0021000001720511XQ;02/02/2018;24;1,809;R
ES0021000001720511XQ;03/02/2018;1;1,127;R
ES0021000001720511XQ;03/02/2018;2;0,533;R
ES0021000001720511XQ;03/02/2018;3;0,268;R
ES0021000001720511XQ;03/02/2018;4;0,288;R
ES0021000001720511XQ;03/02/2018;5;0,231;R
ES0021000001720511XQ;03/02/2018;6;0,232;R
ES0021000001720511XQ;03/02/2018;7;0,409;R
ES0021000001720511XQ;03/02/2018;8;0,289;R
ES0021000001720511XQ;03/02/2018;9;0,238;R
ES0021000001720511XQ;03/02/2018;10;0,317;R
ES0021000001720511XQ;03/02/2018;11;2,782;R
ES0021000001720511XQ;03/02/2018;12;2,457;R
ES0021000001720511XQ;03/02/2018;13;2,000;R
ES0021000001720511XQ;03/02/2018;14;0,788;R
ES0021000001720511XQ;03/02/2018;15;2,028;R
ES0021000001720511XQ;03/02/2018;16;0,656;R
ES0021000001720511XQ;03/02/2018;17;1,913;R
ES0021000001720511XQ;03/02/2018;18;0,967;R
ES0021000001720511XQ;03/02/2018;19;0,593;R
ES0021000001720511XQ;03/02/2018;20;0,446;R
ES0021000001720511XQ;03/02/2018;21;0,630;R
ES0021000001720511XQ;03/02/2018;22;0,358;R
ES0021000001720511XQ;03/02/2018;23;0,624;R
ES0021000001720511XQ;03/02/2018;24;1,466;R
ES0021000001720511XQ;04/02/2018;1;1,424;R
ES0021000001720511XQ;04/02/2018;2;0,707;R
ES0021000001720511XQ;04/02/2018;3;0,231;R
ES0021000001720511XQ;04/02/2018;4;0,232;R
ES0021000001720511XQ;04/02/2018;5;0,446;R
ES0021000001720511XQ;04/02/2018;6;0,196;R
