CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;01/03/2018;1;1,358;R
ES0021000001720511XQ;01/03/2018;2;0,748;R
ES0021000001720511XQ;01/03/2018;3;0,314;R
ES0021000001720511XQ;01/03/2018;4;0,293;R
ES0021000001720511XQ;01/03/2018;5;0,284;R
ES0021000001720511XQ;01/03/2018;6;0,243;R
ES0021000001720511XQ;01/03/2018;7;1,071;R
ES0021000001720511XQ;01/03/2018;8;0,566;R
ES0021000001720511XQ;01/03/2018;9;1,794;R
ES0021000001720511XQ;01/03/2018;10;1,159;R
ES0021000001720511XQ;01/03/2018;11;0,224;R
ES0021000001720511XQ;01/03/2018;12;0,329;R
ES0021000001720511XQ;01/03/2018;13;1,590;R
ES0021000001720511XQ;01/03/2018;14;1,861;R
ES0021000001720511XQ;01/03/2018;15;1,644;R
ES0021000001720511XQ;01/03/2018;16;0,643;R
ES0021000001720511XQ;01/03/2018;17;1,292;R
ES0021000001720511XQ;01/03/2018;18;0,619;R
ES0021000001720511XQ;01/03/2018;19;0,568;R
ES0021000001720511XQ;01/03/2018;20;0,646;R
ES0021000001720511XQ;01/03/2018;21;0,811;R
ES0021000001720511XQ;01/03/2018;22;0,899;R
ES0021000001720511XQ;01/03/2018;23;2,015;R
ES0021000001720511XQ;01/03/2018;24;1,599;R
ES0021000001720511XQ;02/03/2018;1;0,590;E
ES0021000001720511XQ;02/03/2018;2;0,475;E
ES0021000001720511XQ;02/03/2018;3;0,417;E
ES0021000001720511XQ;02/03/2018;4;0,393;E
ES0021000001720511XQ;02/03/2018;5;0,386;E
ES0021000001720511XQ;02/03/2018;6;0,401;E
ES0021000001720511XQ;02/03/2018;7;0,476;E
ES0021000001720511XQ;02/03/2018;8;0,646;E
ES0021000001720511XQ;02/03/2018;9;0,783;E
ES0021000001720511XQ;02/03/2018;10;0,858;E
ES0021000001720511XQ;02/03/2018;11;0,914;E
ES0021000001720511XQ;02/03/2018;12;0,920;E
ES0021000001720511XQ;02/03/2018;13;0,930;E
ES0021000001720511XQ;02/03/2018;14;0,950;E
ES0021000001720511XQ;02/03/2018;15;0,914;E
ES0021000001720511XQ;02/03/2018;16;0,867;E
ES0021000001720511XQ;02/03/2018;17;0,851;E
ES0021000001720511XQ;02/03/2018;18;0,874;E
ES0021000001720511XQ;02/03/2018;19;0,902;E
ES0021000001720511XQ;02/03/2018;20;0,990;E
ES0021000001720511XQ;02/03/2018;21;1,060;E
ES0021000001720511XQ;02/03/2018;22;1,056;E
ES0021000001720511XQ;02/03/2018;23;0,942;E
ES0021000001720511XQ;02/03/2018;24;0,790;E
ES0021000001720511XQ;03/03/2018;1;0,440;R
