,Fecha,TPD
2018-03-01 00:00:00,2018-03-01 00:00:00,112.202792860041
2018-03-01 01:00:00,2018-03-01 01:00:00,116.32605581292306
2018-03-01 02:00:00,2018-03-01 02:00:00,124.57732852152864
2018-03-01 03:00:00,2018-03-01 03:00:00,125.21384444812482
2018-03-01 04:00:00,2018-03-01 04:00:00,126.40054478527888
2018-03-01 05:00:00,2018-03-01 05:00:00,126.66917297599143
2018-03-01 06:00:00,2018-03-01 06:00:00,125.42675787878991
2018-03-01 07:00:00,2018-03-01 07:00:00,124.39033519778684
2018-03-01 08:00:00,2018-03-01 08:00:00,124.60424037262278
2018-03-01 09:00:00,2018-03-01 09:00:00,123.65775881235538
2018-03-01 10:00:00,2018-03-01 10:00:00,122.67292522124524
2018-03-01 11:00:00,2018-03-01 11:00:00,122.0517336670264
2018-03-01 12:00:00,2018-03-01 12:00:00,122.93203208770336
2018-03-01 13:00:00,2018-03-01 13:00:00,126.01012764211266
2018-03-01 14:00:00,2018-03-01 14:00:00,130.05205563179564
2018-03-01 15:00:00,2018-03-01 15:00:00,131.4803386604501
2018-03-01 16:00:00,2018-03-01 16:00:00,131.83912739314485
2018-03-01 17:00:00,2018-03-01 17:00:00,130.60011853457138
2018-03-01 18:00:00,2018-03-01 18:00:00,125.57343995063725
2018-03-01 19:00:00,2018-03-01 19:00:00,124.61155469282849
2018-03-01 20:00:00,2018-03-01 20:00:00,121.06039816316955
2018-03-01 21:00:00,2018-03-01 21:00:00,118.49259917643504
2018-03-01 22:00:00,2018-03-01 22:00:00,117.26910093332187
2018-03-01 23:00:00,2018-03-01 23:00:00,116.73011979415838
2018-03-02 00:00:00,2018-03-02 00:00:00,117.2144303289423
2018-03-02 01:00:00,2018-03-02 01:00:00,120.58567541976545
2018-03-02 02:00:00,2018-03-02 02:00:00,127.21485381637835
2018-03-02 03:00:00,2018-03-02 03:00:00,127.16178965789477
2018-03-02 04:00:00,2018-03-02 04:00:00,127.97460666542372
2018-03-02 05:00:00,2018-03-02 05:00:00,127.97626770262909
2018-03-02 06:00:00,2018-03-02 06:00:00,126.3940744311698
2018-03-02 07:00:00,2018-03-02 07:00:00,124.94827879988364
2018-03-02 08:00:00,2018-03-02 08:00:00,125.00271885144574
2018-03-02 09:00:00,2018-03-02 09:00:00,123.93623748212745
2018-03-02 10:00:00,2018-03-02 10:00:00,122.84765739195382
2018-03-02 11:00:00,2018-03-02 11:00:00,122.21601199221578
2018-03-02 12:00:00,2018-03-02 12:00:00,123.64645865441108
2018-03-02 13:00:00,2018-03-02 13:00:00,127.00686860979008
2018-03-02 14:00:00,2018-03-02 14:00:00,130.6936641842578
2018-03-02 15:00:00,2018-03-02 15:00:00,131.8151720246482
2018-03-02 16:00:00,2018-03-02 16:00:00,132.15287330360155
2018-03-02 17:00:00,2018-03-02 17:00:00,130.9487502183617
2018-03-02 18:00:00,2018-03-02 18:00:00,126.9642999265547
2018-03-02 19:00:00,2018-03-02 19:00:00,125.82204809012269
2018-03-02 20:00:00,2018-03-02 20:00:00,122.49100698667516
2018-03-02 21:00:00,2018-03-02 21:00:00,119.76896525401385
2018-03-02 22:00:00,2018-03-02 22:00:00,118.36698261148534
2018-03-02 23:00:00,2018-03-02 23:00:00,117.79599767517999
2018-03-03 00:00:00,2018-03-03 00:00:00,118.13530112727187
2018-03-03 01:00:00,2018-03-03 01:00:00,121.38607335018355
2018-03-03 02:00:00,2018-03-03 02:00:00,127.75978714116148
2018-03-03 03:00:00,2018-03-03 03:00:00,127.61165493307197
2018-03-03 04:00:00,2018-03-03 04:00:00,128.36880330879183
2018-03-03 05:00:00,2018-03-03 05:00:00,128.33347786447754
2018-03-03 06:00:00,2018-03-03 06:00:00,126.71193875587154
2018-03-03 07:00:00,2018-03-03 07:00:00,125.21662683637234
2018-03-03 08:00:00,2018-03-03 08:00:00,125.24877258293976
2018-03-03 09:00:00,2018-03-03 09:00:00,124.17081745914021
2018-03-03 10:00:00,2018-03-03 10:00:00,123.07312505156341
2018-03-03 11:00:00,2018-03-03 11:00:00,122.44302392450444
2018-03-03 12:00:00,2018-03-03 12:00:00,123.9422435442307
2018-03-03 13:00:00,2018-03-03 13:00:00,127.32536674636569
2018-03-03 14:00:00,2018-03-03 14:00:00,130.94566418589395
2018-03-03 15:00:00,2018-03-03 15:00:00,132.01960710750996
2018-03-03 16:00:00,2018-03-03 16:00:00,132.3527833328058
2018-03-03 17:00:00,2018-03-03 17:00:00,131.159214650564
2018-03-03 18:00:00,2018-03-03 18:00:00,127.3371483317655
2018-03-03 19:00:00,2018-03-03 19:00:00,126.17555847575579
2018-03-03 20:00:00,2018-03-03 20:00:00,122.89072746673291
2018-03-03 21:00:00,2018-03-03 21:00:00,120.16050357632227
2018-03-03 22:00:00,2018-03-03 22:00:00,118.74068709868186
2018-03-03 23:00:00,2018-03-03 23:00:00,118.16803345209959
2018-03-04 00:00:00,2018-03-04 00:00:00,118.48577215549471
2018-03-04 01:00:00,2018-03-04 01:00:00,121.70441720877993
2018-03-04 02:00:00,2018-03-04 02:00:00,128.01249275144355
2018-03-04 03:00:00,2018-03-04 03:00:00,127.85199654501247
2018-03-04 04:00:00,2018-03-04 04:00:00,128.5978654978067
2018-03-04 05:00:00,2018-03-04 05:00:00,128.5576229919992
2018-03-04 06:00:00,2018-03-04 06:00:00,126.93843514840043
2018-03-04 07:00:00,2018-03-04 07:00:00,125.44347177917096
2018-03-04 08:00:00,2018-03-04 08:00:00,125.47239791089808
2018-03-04 09:00:00,2018-03-04 09:00:00,124.39802483095478
2018-03-04 10:00:00,2018-03-04 10:00:00,123.30433367596319
2018-03-04 11:00:00,2018-03-04 11:00:00,122.67746097767916
2018-03-04 12:00:00,2018-03-04 12:00:00,124.17896121641759
2018-03-04 13:00:00,2018-03-04 13:00:00,127.54901372104631
2018-03-04 14:00:00,2018-03-04 14:00:00,131.14283776496052
2018-03-04 15:00:00,2018-03-04 15:00:00,132.20509941104524
2018-03-04 16:00:00,2018-03-04 16:00:00,132.53605858036804
2018-03-04 17:00:00,2018-03-04 17:00:00,131.34965447345328
