,Fecha,TPD
2018-03-01 00:00:00,2018-03-01 00:00:00,112.12485230078154
2018-03-01 01:00:00,2018-03-01 01:00:00,116.2485041568586
2018-03-01 02:00:00,2018-03-01 02:00:00,124.3881775194303
2018-03-01 03:00:00,2018-03-01 03:00:00,124.95834725415301
2018-03-01 04:00:00,2018-03-01 04:00:00,126.09843279775436
2018-03-01 05:00:00,2018-03-01 05:00:00,126.3405681437533
2018-03-01 06:00:00,2018-03-01 06:00:00,125.02914809053122
2018-03-01 07:00:00,2018-03-01 07:00:00,123.92109003529036
2018-03-01 08:00:00,2018-03-01 08:00:00,124.11592498629939
2018-03-01 09:00:00,2018-03-01 09:00:00,123.13409428613917
2018-03-01 10:00:00,2018-03-01 10:00:00,122.12176790323434
2018-03-01 11:00:00,2018-03-01 11:00:00,121.49774920682113
2018-03-01 12:00:00,2018-03-01 12:00:00,122.45477451656828
2018-03-01 13:00:00,2018-03-01 13:00:00,125.61523981865038
2018-03-01 14:00:00,2018-03-01 14:00:00,129.66167036642608
2018-03-01 15:00:00,2018-03-01 15:00:00,131.07401133774889
2018-03-01 16:00:00,2018-03-01 16:00:00,131.43570794260637
2018-03-01 17:00:00,2018-03-01 17:00:00,130.18732116586247
2018-03-01 18:00:00,2018-03-01 18:00:00,125.23230695202602
2018-03-01 19:00:00,2018-03-01 19:00:00,124.24155902078742
2018-03-01 20:00:00,2018-03-01 20:00:00,120.66545557062007
2018-03-01 21:00:00,2018-03-01 21:00:00,118.05651991346244
2018-03-01 22:00:00,2018-03-01 22:00:00,116.80472743620766
2018-03-01 23:00:00,2018-03-01 23:00:00,116.25865366128734
2018-03-02 00:00:00,2018-03-02 00:00:00,116.72465964248912
2018-03-02 01:00:00,2018-03-02 01:00:00,120.10883143822322
2018-03-02 02:00:00,2018-03-02 02:00:00,126.72223597314964
2018-03-02 03:00:00,2018-03-02 03:00:00,126.65926549354427
2018-03-02 04:00:00,2018-03-02 04:00:00,127.46800092148752
2018-03-02 05:00:00,2018-03-02 05:00:00,127.47752092536793
2018-03-02 06:00:00,2018-03-02 06:00:00,125.85536397829885
2018-03-02 07:00:00,2018-03-02 07:00:00,124.36714340089327
2018-03-02 08:00:00,2018-03-02 08:00:00,124.41671882061617
2018-03-02 09:00:00,2018-03-02 09:00:00,123.32158296359164
2018-03-02 10:00:00,2018-03-02 10:00:00,122.21046413243576
2018-03-02 11:00:00,2018-03-02 11:00:00,121.5763326950187
2018-03-02 12:00:00,2018-03-02 12:00:00,123.0524744233636
2018-03-02 13:00:00,2018-03-02 13:00:00,126.48473177935782
2018-03-02 14:00:00,2018-03-02 14:00:00,130.2026473804355
2018-03-02 15:00:00,2018-03-02 15:00:00,131.3282156351688
2018-03-02 16:00:00,2018-03-02 16:00:00,131.67008387376495
2018-03-02 17:00:00,2018-03-02 17:00:00,130.45196955034547
2018-03-02 18:00:00,2018-03-02 18:00:00,126.47016172083649
2018-03-02 19:00:00,2018-03-02 19:00:00,125.30800687903427
2018-03-02 20:00:00,2018-03-02 20:00:00,121.93169363843396
2018-03-02 21:00:00,2018-03-02 21:00:00,119.17385283738979
2018-03-02 22:00:00,2018-03-02 22:00:00,117.75261923295542
2018-03-02 23:00:00,2018-03-02 23:00:00,117.1756841319894
